Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,29,795.0,130,251,1,1,62,81,323,19,29,0.5179282868525896,1.0,0.7654320987654321,0.40628930817610065,0.7611201285393405,0.6551724137931034,1.0
,,12,331.5,36,76,1,1,17,21,90,6,7,0.47368421052631576,1.0,0.8095238095238095,0.27149321266968324,0.7610693400167085,0.5,0.5833333333333334
,,32,573.8,93,155,1,1,30,44,217,42,14,0.6,1.0,0.6818181818181818,0.3781805507145347,0.7606060606060606,1.3125,0.4375
,,45,792.8,114,238,1,1,65,81,294,3,14,0.4789915966386555,1.0,0.8024691358024691,0.3708375378405651,0.7604869108137082,0.06666666666666667,0.3111111111111111
,,35,1000.9,94,180,1,1,69,91,258,88,25,0.5222222222222223,1.0,0.7582417582417582,0.2577680087920871,0.7601546601546602,2.5142857142857142,0.7142857142857143
,,13,222.4,38,61,1,1,23,35,100,13,12,0.6229508196721312,1.0,0.6571428571428571,0.44964028776978415,0.7600312256049961,1.0,0.9230769230769231
,,31,550.8,88,140,2,2,28,43,206,1,19,0.6285714285714286,1.0,0.6511627906976745,0.374001452432825,0.7599114064230342,0.03225806451612903,0.6129032258064516
,,5,144.0,29,58,1,1,7,9,66,6,3,0.5,1.0,0.7777777777777778,0.4583333333333333,0.7592592592592592,1.2,0.6
,,34,714.0,151,286,1,1,98,131,401,10,27,0.527972027972028,1.0,0.7480916030534351,0.561624649859944,0.7586878770084877,0.29411764705882354,0.7941176470588235
,,47,1363.6,229,409,1,1,90,126,549,12,32,0.5599022004889975,1.0,0.7142857142857143,0.402610736286301,0.7580626382582373,0.2553191489361702,0.6808510638297872
,,8,220.7,52,89,1,1,20,29,125,9,2,0.5842696629213483,1.0,0.6896551724137931,0.5663797009515179,0.7579749451117138,1.125,0.25
